Location,Season,Year,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price
Mangalore,Rabi,2014,7028,3522.8,38,Laterite,Drip,3472,59,Cashew,761
Mangalore,Rabi,2015,7403,3522.8,38,Laterite,Drip,3647,50,Cashew,45608
Mangalore,Rabi,2016,7501,3522.8,38,Laterite,Drip,393,54,Cashew,234581
Mangalore,Rabi,2017,7714,3729.8,39,Laterite,Drip,167,53,Coconut,646
Mangalore,Rabi,2018,7856,3729.8,39,Laterite,Drip,71,59.5,Coconut,43562
Mangalore,Rabi,2013,32,3729.8,39,Laterite,Drip,52,55,Coconut,200000
Mangalore,Rabi,2014,1,2746.2,40,Laterite,Drip,2570,53,Coconut,4847
Mangalore,Rabi,2015,30,2746.2,40,Laterite,Drip,27170,53.5,Coconut,51239
Mangalore,Rabi,2016,6,2746.2,40,Laterite,Drip,114744,52.5,Coconut,216396
Mangalore,Rabi,2017,15,3360,41,Laterite,Drip,1402,56,Coconut,2644
Mangalore,Rabi,2018,4,3360,41,Laterite,Drip,23456,57,Coconut,44235
Mangalore,Rabi,2004,39,3360,41,Laterite,Drip,107809,57.5,Coconut,203317
Mangalore,Rabi,2005,6,3605.4,42,Laterite,Drip,1132,57,Coconut,2134
Mangalore,Zaid,2004,146,3296,40,Sandy loam,Drip,3671,56.6,Coffee,24848
Mangalore,Zaid,2004,10910,3296,40,Sandy loam,Drip,2404,55.5,Coffee,761
Mangalore,Zaid,2004,51355,3550,41,Sandy loam,Drip,2805,58.5,Coffee,45608
Mangalore,Zaid,2004,160,3550,41,Sandy loam,Drip,2331,59.5,Coffee,234581
Mangalore,Zaid,2004,10912,3550,41,Sandy loam,Drip,2088,55,Coffee,646
Mangalore,Zaid,2004,51353,3654,42,Clay,Drip,2628,53,Coffee,43562
Mangalore,Zaid,2004,142,3654,42,Clay,Drip,1939,53.5,Coffee,200000
Mangalore,Zaid,2004,10505,3654,42,Clay,Drip,1871,52.5,Coffee,4847
Mangalore,Zaid,2004,51040,233,43,Clay,Drip,1868,56,Coffee,51239
Mangalore,Zaid,2004,154,233,43,Clay,Drip,127919,57,Coffee,216396
Mangalore,Zaid,2004,10318,233,27,Clay,Drip,75340,57.5,Coffee,2644
Mangalore,Zaid,2006,16224,3296,27,Sandy,Basin,33,53.5,Coconut,238542
Mangalore,Zaid,2007,17095,3296,27,Sandy,Basin,14,52.5,Coconut,1516
Mangalore,Zaid,2008,17512,3296,27,Sandy,Basin,56,56,Coconut,57259
Mangalore,Zaid,2009,17587,3550,27,Sandy,Basin,26,57,Coconut,234779
Mangalore,Zaid,2010,17771,3550,27,Sandy,Basin,98,57.5,Coconut,1493
Mangalore,Zaid,2011,17825,3550,27,Sandy,Basin,3,57,Coconut,64409
Mangalore,Zaid,2012,3147,3654,27.2,Sandy,Basin,58637,55,Coconut,249978
Mangalore,Zaid,2013,2578,3654,27.2,Sandy,Basin,59777,56,Coconut,200000
Mangalore,Zaid,2014,1591,3654,27.2,Sandy,Basin,60528,54,Coconut,4847
Mangalore,Zaid,2015,1298,233,27,Sandy,Basin,61126,58,Coconut,51239
Mangalore,Zaid,2016,4,233,27,Sandy,Basin,623687,58,Coconut,216396
Mangalore,Zaid,2017,1122,233,27,Sandy,Basin,63504,59,Coconut,2644
Mangalore,Zaid,2018,917,234,27,Sandy,Basin,63931,50,Coconut,44235
Mangalore,Zaid,2019,819,234,27,Clay,Basin,73730,54,Coconut,203317
Mangalore,Zaid,2004,619,234,27,Clay,Basin,118416,53,Coconut,2134
Mangalore,Zaid,2005,391,3105,27.2,Clay,Basin,130132,52,Coconut,45186
Mangalore,Zaid,2006,211,3105,27.2,Clay,Basin,154889,51,Coconut,238542
Mangalore,Zaid,2007,153,3105,27.2,Clay,Basin,171739,57,Coconut,1516
Mangalore,Zaid,2008,111,236,27.1,Clay,Basin,172475,57,Coconut,57259
Mangalore,Zaid,2009,76,236,27.1,Clay,Basin,177939,60,Coconut,234779
Mangalore,Zaid,2010,53,2903.1,27.1,Clay,Basin,313547,57,Coconut,1493
Mangalore,Zaid,2011,2688,2903.1,26.8,Clay,Basin,2783,57,Coconut,64409
Mangalore,Zaid,2012,2311,2903.1,26.8,Clay,Basin,1533,54,Coconut,249978
Mangalore,Zaid,2013,2188,2996.6,26.8,Clay,Basin,1647,54.5,Coconut,637
Mangalore,Zaid,2014,1998,2996.6,37,Clay,Basin,975,56.6,Coconut,43311
Mangalore,Zaid,2015,2006,2996.6,37,Clay,Basin,2,55.5,Coconut,24848
Mangalore,Zaid,2016,2034,3522.8,37,Clay,Basin,836,58.5,Coconut,761
Mangalore,Zaid,2017,2035,3522.8,38,Clay,Basin,806,59.5,Coconut,45608
Mangalore,Zaid,2018,2074,3522.8,38,Clay,Basin,880,55,Coconut,234581
Mangalore,Zaid,2012,2127,2903.1,38,Clay,Basin,770,53,Coconut,646
Mangalore,Zaid,2013,2090,2903.1,39,Clay,Spray,395,53.5,Coconut,43562
Mangalore,Zaid,2014,2059,2903.1,39,Clay,Spray,187,52.5,Coconut,200000
Mangalore,Zaid,2015,2050,2996.6,39,Clay,Spray,187,56,Coconut,4847
Mangalore,Zaid,2016,1865,2996.6,40,Clay,Spray,121,57,Coconut,51239
Mangalore,Zaid,2017,1841,2996.6,40,Clay,Spray,103,57.5,Coconut,216396
Mangalore,Zaid,2018,1799,3522.8,40,Clay,Spray,71,57,Coconut,2644
Mangalore,Zaid,2019,1468,3522.8,41,Clay,Spray,3961,55,Coconut,44235
Mangalore,Zaid,2004,568,3522.8,41,Clay,Spray,4247,56,Coconut,203317
Mangalore,Zaid,2005,407,3729.8,41,Clay,Spray,3290,54,Coconut,2134
Mangalore,Zaid,2006,177,3729.8,42,Clay,Spray,3138,58,Coconut,45186
Mangalore,Zaid,2007,51,3729.8,42,Clay,Spray,3423,58,Coconut,238542
Mangalore,Zaid,2008,173,2746.2,42,Clay,Spray,3899,59,Coconut,1516
Mangalore,Zaid,2009,201,2746.2,43,Clay,Spray,4015,50,Coconut,57259
Mangalore,Zaid,2010,206,2746.2,43,Loam,Spray,4279,54,Coconut,234779
